Animal,Color,Diet,Habitat,Predators,Countries Found,Conservation Status,Family,Social Structure,Height (cm) (Cleaned),Weight (kg) (Cleaned),Lifespan (years) (Cleaned),Average Speed (km/h) (Cleaned),Gestation Period (days) (Cleaned),Top Speed (km/h) (Cleaned),Offspring per Birth (Cleaned)
Siberian Husky,Various,Carnivore,Cold Regions,"Wolves, Bears","Siberia, Alaska",Not Applicable,Canidae,Pack-based,55.0,21.5,13.0,57.5,61.5,48.0,5.0
Sloth,"Brown, Gray",Herbivore,Rainforests,"Jaguars, Harpy Eagles",Central and South America,Least Concern,Bradypodidae,Solitary,55.0,6.3,13.0,0.14,150.0,0.14,1.0
Slow Loris,Yellowish-Brown,Omnivore,Forests,"Birds, Snakes",Southeast Asia,Vulnerable,Lorisidae,Solitary,29.0,0.95,22.0,,24.5,,
Snow Leopard,"Grayish-yellow, Black",Carnivore,"Mountains, Steppes","Humans, Wolves",Central and South Asia,Vulnerable,Felidae,Solitary,60.0,48.5,12.5,50.0,95.0,50.0,3.0
Snowy Owl,White,Carnivore,"Arctic, North America","Foxes, Wolves","Arctic, North America",Least Concern,Strigidae,Solitary,61.5,2.45,12.5,80.0,33.0,80.0,7.0
Spectacled Bear,"Black, Tan",Omnivore,Forests,"Jaguars, Pumas",South America,Vulnerable,Ursidae,Solitary,160.0,56.0,17.5,45.0,247.0,45.0,1.0
Sperm Whale,Gray,Carnivore,Oceans,Orcas,Worldwide,Vulnerable,Physeteridae,Solitary,,,55.0,60.0,55.0,60.0,1.0
Spider Monkey,"Brown, Black",Omnivore,Rainforests,"Jaguars, Pumas",Central and South America,Vulnerable,Atelidae,Group-based,49.5,7.5,30.5,45.0,135.0,45.0,1.0
Spotted Hyena,Yellowish-brown,"Carnivore, Scavenger","Grasslands, Savannahs","Lions, Leopards",Sub-Saharan Africa,Least Concern,Hyaenidae,Group-based,81.0,54.0,18.5,60.0,100.0,56.0,2.5
Squirrel Monkey,"Yellowish-Orange, Black",Omnivore,Rainforests,"Snakes, Hawks",Central and South America,Least Concern,Cebidae,Group-based,30.0,0.75,,30.0,17.5,30.0,45.0
Star-Nosed Mole,"Black, Pink",Insectivore,"Wetlands, Forests",Not Applicable,North America,Least Concern,Talpidae,Solitary,16.0,,,1.2,19.0,1.2,6.0
Sumatran Orangutan,Reddish-Brown,Omnivore,Rainforests,"Tigers, Humans",Sumatra,Critically Endangered,Hominidae,Solitary,83.0,39.5,40.0,35.0,95.0,35.0,1.0
Sumatran Rhino,Reddish-Brown,Herbivore,Rainforests,"Tigers, Humans",Southeast Asia,Critically Endangered,Rhinocerotidae,Solitary,122.5,850.0,37.5,40.0,535.0,40.0,1.0
Sumatran Rhinoceros,Brown,Herbivore,Rainforests,"Tigers, Humans",Southeast Asia,Critically Endangered,Rhinocerotidae,Solitary,128.5,725.0,37.5,52.0,450.0,40.0,1.0
Sumatran Tiger,"Orange, Black Stripes",Carnivore,Rainforests,"Leopards, Humans",Sumatra,Critically Endangered,Felidae,Solitary,78.5,84.0,17.5,24.0,185.0,24.0,3.0
Sun Bear,Black,Omnivore,Tropical Forests,"Tigers, Leopards",Southeast Asia,Vulnerable,Ursidae,Solitary,135.0,53.5,27.5,44.0,120.0,44.0,1.5
Tapir,"Brown, Black",Herbivore,"Rainforests, Grasslands","Jaguars, Crocodiles",South and Central America,Vulnerable,Tapiridae,Solitary,95.0,275.0,27.5,48.0,392.5,48.0,1.0
Tarsier,"Gray, Brown",Insectivore,Rainforests,"Birds, Snakes","Southeast Asia, Philippines",Vulnerable,Tarsiidae,Solitary,,,16.0,45.0,195.0,45.0,1.0
Tasmanian Devil,"Black, White","Carnivore, Scavenger","Forests, Grasslands",Tasmanian Tigers,"Tasmania, Australia",Endangered,Dasyuridae,Solitary,53.0,9.0,6.5,16.0,24.5,16.0,25.0
Tasmanian Tiger,Yellow-brown,Carnivore,Australia,"Humans, Dingoes",Australia,Extinct,Thylacinidae,Solitary,115.0,25.0,5.5,56.0,124.5,56.0,2.0
Termite,Varies,Herbivore,"Forests, Grasslands",Not Applicable,Worldwide,Not Applicable,Termitoidae,Social groups,,,,,,,
Thorny Devil,"Brown, Tan",Insectivore,"Desert, Scrublands","Birds, Snakes",Australia,Least Concern,Agamidae,Solitary,,,12.5,0.24,,,
Three-Toed Sloth,"Brown, Gray",Herbivore,Rainforests,Harpy Eagles,Central and South America,Least Concern,Bradypodidae,Solitary,52.0,,10.0,20.0,35.0,20.0,1.5
Tibetan Mastiff,"Black, Brown, Gray",Omnivore,Human Dwellings,Not Applicable,"Asia, Tibet",Not Applicable,Canidae,Social groups,69.5,69.0,11.0,45.0,70.0,45.0,5.5
Tiger,"Orange, Black Stripes",Carnivore,Rainforests,"Humans, Leopards","Asia, Russia",Endangered,Felidae,Solitary,120.5,245.0,12.5,28.0,295.0,28.0,2.5
Titanoboa,Dark Brown,Carnivore,Wetlands,"Fish, Crocodiles",South America,Extinct (around 58 million years ago),Boidae,Solitary,,,12.5,27.0,445.0,27.0,
Toco Toucan,"Black, Orange, Yellow",Omnivore,Rainforests,"Birds of Prey, Jaguars",South America,Least Concern,Ramphastidae,Flocks,60.0,620.0,8.0,35.5,18.5,60.0,3.0
Tree Kangaroo,"Brown, Red",Herbivore,Rainforests,"Quolls, Pythons","Papua New Guinea, Indonesia",Endangered,Macropodidae,Solitary,65.0,6.0,17.5,30.0,128.0,30.0,1.0
Tsetse Fly,"Brown, Gray",Carnivore,Savannahs,Not Applicable,Africa,Not Applicable,Glossinidae,Solitary,,,,,,,
Tuatara,Grayish-brown,"Carnivore, Insectivore","Islands, Coastal Areas","Rats, Cats",New Zealand,Vulnerable,Rhynchocephalia,Solitary,,,,0.03,13.5,,
Tufted Puffin,"Black, White",Carnivore,Coastal Areas,"Eagles, Falcons",North Pacific,Least Concern,Alcidae,Social groups,38.0,0.7,,17.0,126.0,17.0,1.0
Uakari,"Bald, Red",Omnivore,Rainforests,"Jaguars, Snakes",Amazon Basin,Vulnerable,Pitheciidae,Group-based,51.0,2.5,12.5,20.0,125.0,20.0,3.5
Vampire Bat,Brown,Carnivore,"Caves, Forests","Hawks, Owls",Americas,Least Concern,Phyllostomidae,Colony-based,,,10.0,32.0,60.0,32.0,1.0
Vaquita,"Grey, White",Carnivore,Gulf of California,"Nets, Sharks","Gulf of California, Mexico",Critically Endangered,Phocoenidae,Solitary,,,20.5,,10.0,,1.0
Vulture,"Black, Brown",Carnivore,Various,Not Applicable,"Africa, Asia, Americas",Varies,Accipitridae,Social groups,,,,,,,
Walrus,Brown,Carnivore,"Arctic, Coastal Areas","Polar Bears, Orcas","Arctic, Subarctic",Least Concern,Odobenidae,Group-based,,,45.0,40.0,22.5,40.0,
Warthog,"Brown, Black",Omnivore,"Savannahs, Grasslands","Lions, Leopards",Sub-Saharan Africa,Least Concern,Suidae,Group-based,117.5,105.0,17.5,20.0,190.0,20.0,18.0
Water Buffalo,Dark Gray,Herbivore,"Grasslands, Wetlands","Tigers, Crocodiles","Asia, Africa",Least Concern,Bovidae,Group-based,250.0,750.0,22.5,40.0,255.0,40.0,265.0
Western Gorilla,Black,Herbivore,Rainforests,"Leopards, Humans",Central Africa,Critically Endangered,Hominidae,Social groups,170.0,125.0,35.0,40.0,245.0,40.0,1.0
Western Lowland Gorilla,Black,Herbivore,Rainforests,"Leopards, Humans",Central Africa,Critically Endangered,Hominidae,Social groups,170.0,124.5,35.0,40.0,245.0,40.0,1.0
Whale Shark,"Gray, White",Filter Feeder,Oceans,Not Applicable,Worldwide,Endangered,Rhincodontidae,Solitary,,,85.0,70.0,125.0,70.0,1.0
White Rhinoceros,Gray,Herbivore,Grasslands,"Lions, Hyenas",Eastern and Southern Africa,Near Threatened,Rhinocerotidae,Group-based,1850.0,2150.0,45.0,45.0,270.0,45.0,7.5
White Tiger,"White, Black Stripes",Carnivore,Rainforests,"Humans, Leopards","India, Southeast Asia",Critically Endangered,Felidae,Solitary,250.0,200.0,12.5,22.0,245.0,22.0,1.0
Wild Boar,"Brown, Black",Omnivore,"Forests, Grasslands","Tigers, Leopards","Eurasia, North Africa, Americas",Least Concern,Suidae,Group-based,82.5,75.0,17.5,20.0,175.0,20.0,18.0
Wildebeest,"Gray, Black",Herbivore,Grasslands,"Lions, Crocodiles",Eastern and Southern Africa,Least Concern,Bovidae,Group-based,210.0,295.0,22.5,47.0,255.0,47.0,500.5
Wolf,"Gray, White",Carnivore,"Forests, Grasslands","Bears, Humans","Eurasia, North America, North Africa",Least Concern,Canidae,Group-based,73.5,51.5,10.5,45.0,125.0,45.0,11.0
Wolverine,Dark Brown,"Carnivore, Scavenger","Boreal Forests, Tundra","Bears, Wolves","North America, Europe, Asia",Least Concern,Mustelidae,Solitary,37.5,17.0,9.5,63.0,42.5,63.0,2.5
Wombat,"Brown, Gray",Herbivore,"Forests, Grasslands","Dingoes, Tasmanian Devils",Australia,Least Concern,Vombatidae,Solitary,101.0,27.5,7.5,20.0,132.0,20.0,1.0
Woodpecker,Varies,Insectivore,Forests,"Birds, Snakes",Worldwide,Not Applicable,Picidae,Solitary,12.35,0.05,,,,,
Woolly Mammoth,"Brown, Shaggy",Herbivore,Tundra,Not Applicable,Northern Hemisphere,"Extinct (around 4,000 years ago)",Elephantidae,Social groups,,,,,,,
Yak,"Brown, Black",Herbivore,Mountains,"Snow Leopards, Wolves","Himalayas, Central Asia",Least Concern,Bovidae,Group-based,150.0,850.0,22.5,24.0,247.5,24.0,30.0
Yellow-Eyed Penguin,"Yellow, White",Carnivore,Coastal Areas,"Seals, Orcas",New Zealand,Endangered,Spheniscidae,Solitary,62.5,2.0,,25.0,85.0,25.0,1.0
Yeti Crab,"White, Hairy",Omnivore,Hydrothermal Vents,Not Applicable,Pacific Ocean,Not Evaluated,Kiwaidae,Solitary,,,,,,,
Zebra,"Black, White",Herbivore,Grasslands,"Lions, Hyenas",Africa,Least Concern,Equidae,Group-based,280.0,650.0,22.5,25.0,272.5,25.0,12.5
Zebra Shark,"Brown, Yellowish",Carnivore,Coral Reefs,Larger Fish,Indo-Pacific region,Endangered,Stegostomatidae,Solitary,,,27.5,20.0,17.5,20.0,
